N_Samples	Iteration	N_Loops
13	66	13475
14	66	13809
15	66	15365
16	66	15951
17	66	16474
1	67	5604
2	67	7408
3	67	8657
4	67	9390
5	67	10063
6	67	10607
7	67	10703
8	67	11024
9	67	11772
10	67	12758
11	67	13153
12	67	13647
13	67	13729
14	67	13890
15	67	14450
16	67	15880
17	67	16474
1	68	3535
2	68	3919
3	68	4402
4	68	8325
5	68	9847
6	68	9954
7	68	10571
8	68	11098
9	68	12175
10	68	12473
11	68	12933
12	68	13560
13	68	14286
14	68	14948
15	68	15547
16	68	15972
17	68	16474
1	69	2465
2	69	3027
3	69	3387
4	69	5614
5	69	7741
6	69	8499
7	69	9513
8	69	10454
9	69	11018
10	69	11730
11	69	12515
12	69	12886
13	69	13643
14	69	13809
15	69	14645
16	69	15083
17	69	16474
1	70	3977
2	70	6828
3	70	7111
4	70	8129
5	70	8710
6	70	9760
7	70	9862
8	70	10629
9	70	11220
10	70	11991
11	70	12277
12	70	12731
13	70	13460
14	70	15013
15	70	15088
16	70	15739
17	70	16474
1	71	3663
2	71	7985
3	71	9126
4	71	10538
5	71	10745
6	71	11090
7	71	11830
8	71	12635
9	71	12729
10	71	12808
11	71	13334
12	71	13948
13	71	14370
14	71	15048
15	71	15368
16	71	16102
17	71	16474
1	72	1426
2	72	4697
3	72	5421
4	72	7607
5	72	8209
6	72	8460
7	72	9361
8	72	10056
9	72	12149
10	72	12959
11	72	13648
12	72	14328
13	72	14903
14	72	15660
15	72	16030
16	72	16403
17	72	16474
1	73	4758
2	73	5173
3	73	6899
4	73	7041
5	73	7492
6	73	7639
7	73	8424
8	73	9508
9	73	11673
10	73	12431
11	73	12929
12	73	13886
13	73	14592
14	73	14932
15	73	15694
16	73	16073
17	73	16474
1	74	3663
2	74	5932
3	74	7431
4	74	8397
5	74	8986
6	74	10326
7	74	10916
8	74	11816
9	74	11907
10	74	12087
11	74	13042
12	74	14629
13	74	15190
14	74	15270
15	74	15886
16	74	16113
17	74	16474
1	75	4712
2	75	5459
3	75	7370
4	75	8211
5	75	9733
6	75	10359
7	75	10459
8	75	10560
9	75	12460
10	75	12889
11	75	13504
12	75	14121
13	75	14276
14	75	14963
15	75	15416
16	75	16173
17	75	16474
1	76	3977
2	76	4316
3	76	5553
4	76	7352
5	76	9998
6	76	10820
7	76	11893
8	76	12852
9	76	13035
10	76	13661
11	76	14303
12	76	14700
13	76	14777
14	76	15425
15	76	15840
16	76	16073
17	76	16474
1	77	3579
2	77	5382
3	77	7094
4	77	7968
5	77	9089
6	77	9198
7	77	10180
8	77	10504
9	77	11684
10	77	11861
11	77	12907
12	77	13292
