N_Samples	Iteration	N_Loops	Model
7	92	11396	All
8	92	11958	All
9	92	12493	All
10	92	14162	All
11	92	14321	All
12	92	14403	All
13	92	14724	All
14	92	14975	All
15	92	15570	All
16	92	16102	All
17	92	16474	All
1	93	6993	All
2	93	8542	All
3	93	9992	All
4	93	10947	All
5	93	11483	All
6	93	12240	All
7	93	12915	All
8	93	13406	All
9	93	13578	All
10	93	14023	All
11	93	14509	All
12	93	15057	All
13	93	15373	All
14	93	15611	All
15	93	15685	All
16	93	15757	All
17	93	16474	All
1	94	4527	All
2	94	5887	All
3	94	6196	All
4	94	7911	All
5	94	9044	All
6	94	10431	All
7	94	10936	All
8	94	11794	All
9	94	12352	All
10	94	13993	All
11	94	14562	All
12	94	14978	All
13	94	15054	All
14	94	15133	All
15	94	15370	All
16	94	15739	All
17	94	16474	All
1	95	1651	All
2	95	2354	All
3	95	5620	All
4	95	6755	All
5	95	8216	All
6	95	10698	All
7	95	10788	All
8	95	11118	All
9	95	11854	All
10	95	12475	All
11	95	12954	All
12	95	13580	All
13	95	13940	All
14	95	14577	All
15	95	14967	All
16	95	15739	All
17	95	16474	All
1	96	4733	All
2	96	5869	All
3	96	6946	All
4	96	7829	All
5	96	8762	All
6	96	11131	All
7	96	11848	All
8	96	12829	All
9	96	13274	All
10	96	13358	All
11	96	14207	All
12	96	14795	All
13	96	15452	All
14	96	15528	All
15	96	15763	All
16	96	15910	All
17	96	16474	All
1	97	1421	All
2	97	4316	All
3	97	6569	All
4	97	7352	All
5	97	9998	All
6	97	10219	All
7	97	10780	All
8	97	11350	All
9	97	12070	All
10	97	13039	All
11	97	13768	All
12	97	14607	All
13	97	15049	All
14	97	15290	All
15	97	15838	All
16	97	16403	All
17	97	16474	All
1	98	5722	All
2	98	7028	All
3	98	7874	All
4	98	8129	All
5	98	9062	All
6	98	9570	All
7	98	9938	All
8	98	11073	All
9	98	11880	All
10	98	11973	All
11	98	12057	All
12	98	12795	All
13	98	13516	All
14	98	13995	All
15	98	14407	All
16	98	15083	All
17	98	16474	All
1	99	4733	All
2	99	7309	All
3	99	8135	All
4	99	8290	All
5	99	10675	All
6	99	10884	All
7	99	11194	All
8	99	11837	All
9	99	12516	All
10	99	13009	All
11	99	13631	All
12	99	13981	All
13	99	14060	All
14	99	14871	All
15	99	15539	All
16	99	15910	All
17	99	16474	All
1	100	6993	All
2	100	7332	All
3	100	7479	All
4	100	9260	All
5	100	10545	All
6	100	11015	All
7	100	11119	All
8	100	11733	All
9	100	12420	All
10	100	12924	All
11	100	13676	All
12	100	14108	All
13	100	14732	All
14	100	15120	All
15	100	15742	All
16	100	15972	All
17	100	16474	All
1	1	6993	Tumour_Only
2	1	8542	Tumour_Only
3	1	8995	Tumour_Only
4	1	9998	Tumour_Only
5	1	10798	Tumour_Only
6	1	10896	Tumour_Only
7	1	11476	Tumour_Only
8	1	12505	Tumour_Only
9	1	12684	Tumour_Only
10	1	13179	Tumour_Only
11	1	13259	Tumour_Only
12	1	13668	Tumour_Only
1	2	3645	Tumour_Only
2	2	6302	Tumour_Only
3	2	7746	Tumour_Only
4	2	8619	Tumour_Only
5	2	9017	Tumour_Only
6	2	9227	Tumour_Only
7	2	11419	Tumour_Only
8	2	11898	Tumour_Only
9	2	11983	Tumour_Only
10	2	12976	Tumour_Only
11	2	13591	Tumour_Only
12	2	13668	Tumour_Only
1	3	2451	Tumour_Only
2	3	6364	Tumour_Only
3	3	7235	Tumour_Only
4	3	8614	Tumour_Only
5	3	9572	Tumour_Only
6	3	10193	Tumour_Only
7	3	10393	Tumour_Only
8	3	10990	Tumour_Only
9	3	11083	Tumour_Only
10	3	11173	Tumour_Only
11	3	12987	Tumour_Only
12	3	13668	Tumour_Only
1	4	4527	Tumour_Only
2	4	5887	Tumour_Only
3	4	6864	Tumour_Only
4	4	7859	Tumour_Only
5	4	8998	Tumour_Only
6	4	9110	Tumour_Only
7	4	11294	Tumour_Only
8	4	11380	Tumour_Only
9	4	11566	Tumour_Only
10	4	11867	Tumour_Only
11	4	12736	Tumour_Only
12	4	13668	Tumour_Only
1	5	1286	Tumour_Only
2	5	2243	Tumour_Only
3	5	7479	Tumour_Only
4	5	8913	Tumour_Only
5	5	9641	Tumour_Only
6	5	10563	Tumour_Only
7	5	11723	Tumour_Only
8	5	12042	Tumour_Only
9	5	12702	Tumour_Only
10	5	13177	Tumour_Only
11	5	13591	Tumour_Only
12	5	13668	Tumour_Only
1	6	1651	Tumour_Only
2	6	5414	Tumour_Only
3	6	6595	Tumour_Only
4	6	9534	Tumour_Only
5	6	9930	Tumour_Only
6	6	10030	Tumour_Only
7	6	10136	Tumour_Only
8	6	11363	Tumour_Only
9	6	11892	Tumour_Only
10	6	12348	Tumour_Only
11	6	13059	Tumour_Only
12	6	13668	Tumour_Only
1	7	2451	Tumour_Only
2	7	5747	Tumour_Only
3	7	7934	Tumour_Only
4	7	10382	Tumour_Only
5	7	11214	Tumour_Only
6	7	11915	Tumour_Only
7	7	12445	Tumour_Only
8	7	12619	Tumour_Only
9	7	12706	Tumour_Only
10	7	13179	Tumour_Only
11	7	13259	Tumour_Only
12	7	13668	Tumour_Only
1	8	4687	Tumour_Only
2	8	6847	Tumour_Only
3	8	7008	Tumour_Only
4	8	8759	Tumour_Only
5	8	10970	Tumour_Only
6	8	11166	Tumour_Only
7	8	11881	Tumour_Only
8	8	11975	Tumour_Only
9	8	12432	Tumour_Only
10	8	12928	Tumour_Only
11	8	13398	Tumour_Only
12	8	13668	Tumour_Only
1	9	3569	Tumour_Only
2	9	7933	Tumour_Only
3	9	8730	Tumour_Only
4	9	9483	Tumour_Only
5	9	9590	Tumour_Only
6	9	9801	Tumour_Only
7	9	10150	Tumour_Only
8	9	11042	Tumour_Only
9	9	12147	Tumour_Only
10	9	12976	Tumour_Only
11	9	13059	Tumour_Only
12	9	13668	Tumour_Only
1	10	5003	Tumour_Only
2	10	5747	Tumour_Only
3	10	6910	Tumour_Only
4	10	8144	Tumour_Only
5	10	9257	Tumour_Only
6	10	9367	Tumour_Only
7	10	9470	Tumour_Only
8	10	9676	Tumour_Only
9	10	10241	Tumour_Only
10	10	10842	Tumour_Only
11	10	11980	Tumour_Only
12	10	13668	Tumour_Only
1	11	2451	Tumour_Only
2	11	4613	Tumour_Only
3	11	7347	Tumour_Only
4	11	8494	Tumour_Only
5	11	9668	Tumour_Only
6	11	10293	Tumour_Only
7	11	11156	Tumour_Only
8	11	11249	Tumour_Only
9	11	11342	Tumour_Only
10	11	11522	Tumour_Only
11	11	11980	Tumour_Only
12	11	13668	Tumour_Only
1	12	5722	Tumour_Only
2	12	6071	Tumour_Only
3	12	7708	Tumour_Only
4	12	7845	Tumour_Only
5	12	8979	Tumour_Only
6	12	9383	Tumour_Only
7	12	11503	Tumour_Only
8	12	11597	Tumour_Only
9	12	12275	Tumour_Only
10	12	12723	Tumour_Only
11	12	13196	Tumour_Only
12	12	13668	Tumour_Only
1	13	3953	Tumour_Only
2	13	4235	Tumour_Only
3	13	5580	Tumour_Only
4	13	6675	Tumour_Only
5	13	8554	Tumour_Only
6	13	8943	Tumour_Only
7	13	9940	Tumour_Only
8	13	10138	Tumour_Only
9	13	11143	Tumour_Only
10	13	11237	Tumour_Only
11	13	11980	Tumour_Only
12	13	13668	Tumour_Only
1	14	6993	Tumour_Only
2	14	7985	Tumour_Only
3	14	8146	Tumour_Only
4	14	9724	Tumour_Only
5	14	10289	Tumour_Only
6	14	10394	Tumour_Only
7	14	11231	Tumour_Only
8	14	11415	Tumour_Only
9	14	11731	Tumour_Only
10	14	12407	Tumour_Only
11	14	12889	Tumour_Only
12	14	13668	Tumour_Only
1	15	1286	Tumour_Only
2	15	3963	Tumour_Only
3	15	5679	Tumour_Only
4	15	7520	Tumour_Only
5	15	9139	Tumour_Only
6	15	10059	Tumour_Only
7	15	10393	Tumour_Only
8	15	12299	Tumour_Only
9	15	12739	Tumour_Only
10	15	12819	Tumour_Only
11	15	12987	Tumour_Only
12	15	13668	Tumour_Only
1	16	3953	Tumour_Only
2	16	4316	Tumour_Only
3	16	8184	Tumour_Only
4	16	9440	Tumour_Only
5	16	9817	Tumour_Only
6	16	11055	Tumour_Only
7	16	11762	Tumour_Only
8	16	12296	Tumour_Only
9	16	12734	Tumour_Only
10	16	12905	Tumour_Only
11	16	13590	Tumour_Only
12	16	13668	Tumour_Only
1	17	3953	Tumour_Only
2	17	4443	Tumour_Only
3	17	6498	Tumour_Only
4	17	7356	Tumour_Only
5	17	7477	Tumour_Only
6	17	10117	Tumour_Only
7	17	10228	Tumour_Only
8	17	11220	Tumour_Only
9	17	11932	Tumour_Only
10	17	12918	Tumour_Only
11	17	13196	Tumour_Only
12	17	13668	Tumour_Only
1	18	6993	Tumour_Only
2	18	7933	Tumour_Only
3	18	9232	Tumour_Only
4	18	10558	Tumour_Only
5	18	11140	Tumour_Only
6	18	11243	Tumour_Only
7	18	12011	Tumour_Only
8	18	12321	Tumour_Only
9	18	12965	Tumour_Only
10	18	13045	Tumour_Only
11	18	13211	Tumour_Only
12	18	13668	Tumour_Only
1	19	3569	Tumour_Only
2	19	5206	Tumour_Only
3	19	5430	Tumour_Only
4	19	7103	Tumour_Only
5	19	7243	Tumour_Only
6	19	7731	Tumour_Only
7	19	8825	Tumour_Only
8	19	11128	Tumour_Only
9	19	11687	Tumour_Only
10	19	11867	Tumour_Only
11	19	12889	Tumour_Only
12	19	13668	Tumour_Only
1	20	2451	Tumour_Only
2	20	7578	Tumour_Only
3	20	8464	Tumour_Only
4	20	9153	Tumour_Only
5	20	10291	Tumour_Only
6	20	11154	Tumour_Only
7	20	11713	Tumour_Only
8	20	11898	Tumour_Only
9	20	12893	Tumour_Only
10	20	12977	Tumour_Only
11	20	13059	Tumour_Only
12	20	13668	Tumour_Only
1	21	6993	Tumour_Only
2	21	8359	Tumour_Only
3	21	9178	Tumour_Only
4	21	10289	Tumour_Only
5	21	11432	Tumour_Only
6	21	11533	Tumour_Only
7	21	11846	Tumour_Only
8	21	12372	Tumour_Only
9	21	13010	Tumour_Only
10	21	13092	Tumour_Only
11	21	13259	Tumour_Only
12	21	13668	Tumour_Only
1	22	3645	Tumour_Only
2	22	6302	Tumour_Only
3	22	6877	Tumour_Only
4	22	7145	Tumour_Only
5	22	8344	Tumour_Only
6	22	9868	Tumour_Only
7	22	10484	Tumour_Only
8	22	10581	Tumour_Only
9	22	11081	Tumour_Only
10	22	11893	Tumour_Only
11	22	11980	Tumour_Only
12	22	13668	Tumour_Only
1	23	3569	Tumour_Only
2	23	5382	Tumour_Only
3	23	5728	Tumour_Only
4	23	5901	Tumour_Only
5	23	7651	Tumour_Only
6	23	8464	Tumour_Only
7	23	9920	Tumour_Only
8	23	11961	Tumour_Only
9	23	12052	Tumour_Only
10	23	12348	Tumour_Only
11	23	13059	Tumour_Only
12	23	13668	Tumour_Only
1	24	3645	Tumour_Only
2	24	4613	Tumour_Only
3	24	4899	Tumour_Only
4	24	5100	Tumour_Only
5	24	7171	Tumour_Only
6	24	9932	Tumour_Only
7	24	10491	Tumour_Only
8	24	11661	Tumour_Only
9	24	12407	Tumour_Only
10	24	12889	Tumour_Only
11	24	13504	Tumour_Only
12	24	13668	Tumour_Only
1	25	3569	Tumour_Only
2	25	3946	Tumour_Only
3	25	4806	Tumour_Only
4	25	6924	Tumour_Only
5	25	9747	Tumour_Only
6	25	11005	Tumour_Only
7	25	11106	Tumour_Only
8	25	11661	Tumour_Only
9	25	12173	Tumour_Only
10	25	12819	Tumour_Only
11	25	12987	Tumour_Only
12	25	13668	Tumour_Only
1	26	5003	Tumour_Only
2	26	6847	Tumour_Only
3	26	7008	Tumour_Only
4	26	7170	Tumour_Only
5	26	8024	Tumour_Only
6	26	9580	Tumour_Only
7	26	10448	Tumour_Only
8	26	10948	Tumour_Only
9	26	11507	Tumour_Only
10	26	13232	Tumour_Only
11	26	13504	Tumour_Only
12	26	13668	Tumour_Only
1	27	1286	Tumour_Only
2	27	2918	Tumour_Only
3	27	4965	Tumour_Only
4	27	6144	Tumour_Only
5	27	9280	Tumour_Only
6	27	10255	Tumour_Only
7	27	11254	Tumour_Only
8	27	12304	Tumour_Only
9	27	12391	Tumour_Only
10	27	13024	Tumour_Only
11	27	13504	Tumour_Only
12	27	13668	Tumour_Only
1	28	3645	Tumour_Only
2	28	4613	Tumour_Only
3	28	5025	Tumour_Only
4	28	6746	Tumour_Only
5	28	8715	Tumour_Only
6	28	9335	Tumour_Only
7	28	9989	Tumour_Only
8	28	11991	Tumour_Only
9	28	12076	Tumour_Only
10	28	12160	Tumour_Only
11	28	12987	Tumour_Only
12	28	13668	Tumour_Only
1	29	1286	Tumour_Only
2	29	7170	Tumour_Only
3	29	8483	Tumour_Only
4	29	9195	Tumour_Only
5	29	9595	Tumour_Only
6	29	10255	Tumour_Only
7	29	10460	Tumour_Only
8	29	11233	Tumour_Only
9	29	11780	Tumour_Only
10	29	12808	Tumour_Only
11	29	12889	Tumour_Only
12	29	13668	Tumour_Only
1	30	4527	Tumour_Only
2	30	6477	Tumour_Only
3	30	6639	Tumour_Only
4	30	7546	Tumour_Only
5	30	10128	Tumour_Only
6	30	11362	Tumour_Only
7	30	11847	Tumour_Only
8	30	12675	Tumour_Only
9	30	13150	Tumour_Only
10	30	13317	Tumour_Only
11	30	13398	Tumour_Only
12	30	13668	Tumour_Only
1	31	2451	Tumour_Only
2	31	7578	Tumour_Only
3	31	9325	Tumour_Only
4	31	9988	Tumour_Only
5	31	10859	Tumour_Only
6	31	10967	Tumour_Only
7	31	11684	Tumour_Only
8	31	12153	Tumour_Only
9	31	12963	Tumour_Only
10	31	13132	Tumour_Only
11	31	13590	Tumour_Only
12	31	13668	Tumour_Only
1	32	5003	Tumour_Only
2	32	5265	Tumour_Only
3	32	7008	Tumour_Only
4	32	7884	Tumour_Only
5	32	8734	Tumour_Only
6	32	9344	Tumour_Only
7	32	11488	Tumour_Only
8	32	11673	Tumour_Only
9	32	11983	Tumour_Only
10	32	12656	Tumour_Only
11	32	12736	Tumour_Only
12	32	13668	Tumour_Only
1	33	6993	Tumour_Only
2	33	8250	Tumour_Only
3	33	9055	Tumour_Only
4	33	9301	Tumour_Only
5	33	10629	Tumour_Only
6	33	11199	Tumour_Only
7	33	11983	Tumour_Only
8	33	12444	Tumour_Only
9	33	13236	Tumour_Only
10	33	13512	Tumour_Only
11	33	13591	Tumour_Only
12	33	13668	Tumour_Only
1	34	1651	Tumour_Only
2	34	5414	Tumour_Only
3	34	5621	Tumour_Only
4	34	7268	Tumour_Only
5	34	7423	Tumour_Only
6	34	8564	Tumour_Only
7	34	9274	Tumour_Only
8	34	10636	Tumour_Only
9	34	11130	Tumour_Only
10	34	11685	Tumour_Only
11	34	13398	Tumour_Only
12	34	13668	Tumour_Only
1	35	1421	Tumour_Only
2	35	5963	Tumour_Only
3	35	6567	Tumour_Only
4	35	8070	Tumour_Only
5	35	8734	Tumour_Only
6	35	8854	Tumour_Only
7	35	9546	Tumour_Only
8	35	10415	Tumour_Only
9	35	10992	Tumour_Only
10	35	11804	Tumour_Only
11	35	13504	Tumour_Only
12	35	13668	Tumour_Only
1	36	4687	Tumour_Only
2	36	6477	Tumour_Only
3	36	8071	Tumour_Only
4	36	8206	Tumour_Only
5	36	8949	Tumour_Only
6	36	9066	Tumour_Only
7	36	11248	Tumour_Only
8	36	12323	Tumour_Only
9	36	12813	Tumour_Only
10	36	13092	Tumour_Only
11	36	13504	Tumour_Only
12	36	13668	Tumour_Only
1	37	1286	Tumour_Only
2	37	2091	Tumour_Only
3	37	4556	Tumour_Only
4	37	6726	Tumour_Only
5	37	8533	Tumour_Only
6	37	9155	Tumour_Only
7	37	11330	Tumour_Only
8	37	11873	Tumour_Only
9	37	12534	Tumour_Only
10	37	12819	Tumour_Only
11	37	12987	Tumour_Only
12	37	13668	Tumour_Only
1	38	1651	Tumour_Only
2	38	4175	Tumour_Only
3	38	7098	Tumour_Only
4	38	7264	Tumour_Only
5	38	8494	Tumour_Only
6	38	10823	Tumour_Only
7	38	11158	Tumour_Only
8	38	11864	Tumour_Only
9	38	11947	Tumour_Only
10	38	12447	Tumour_Only
11	38	13259	Tumour_Only
12	38	13668	Tumour_Only
1	39	6993	Tumour_Only
2	39	8031	Tumour_Only
3	39	9324	Tumour_Only
4	39	9440	Tumour_Only
5	39	10720	Tumour_Only
6	39	10824	Tumour_Only
7	39	11023	Tumour_Only
8	39	11814	Tumour_Only
9	39	12340	Tumour_Only
10	39	12982	Tumour_Only
11	39	13398	Tumour_Only
12	39	13668	Tumour_Only
1	40	1286	Tumour_Only
2	40	2243	Tumour_Only
3	40	7479	Tumour_Only
4	40	8427	Tumour_Only
5	40	9130	Tumour_Only
6	40	10117	Tumour_Only
7	40	10714	Tumour_Only
8	40	10819	Tumour_Only
9	40	11766	Tumour_Only
10	40	12449	Tumour_Only
11	40	13398	Tumour_Only
12	40	13668	Tumour_Only
1	41	6993	Tumour_Only
2	41	7985	Tumour_Only
3	41	9601	Tumour_Only
4	41	9988	Tumour_Only
5	41	10198	Tumour_Only
6	41	10737	Tumour_Only
7	41	11285	Tumour_Only
8	41	12174	Tumour_Only
9	41	12260	Tumour_Only
10	41	12905	Tumour_Only
11	41	13590	Tumour_Only
12	41	13668	Tumour_Only
1	42	3569	Tumour_Only
2	42	6191	Tumour_Only
3	42	6371	Tumour_Only
4	42	7404	Tumour_Only
5	42	8546	Tumour_Only
6	42	8770	Tumour_Only
7	42	10157	Tumour_Only
8	42	10763	Tumour_Only
9	42	12622	Tumour_Only
10	42	13317	Tumour_Only
11	42	13398	Tumour_Only
12	42	13668	Tumour_Only
1	43	4527	Tumour_Only
2	43	5270	Tumour_Only
3	43	6995	Tumour_Only
4	43	7956	Tumour_Only
5	43	9528	Tumour_Only
6	43	9740	Tumour_Only
7	43	10762	Tumour_Only
8	43	12598	Tumour_Only
9	43	13095	Tumour_Only
10	43	13512	Tumour_Only
11	43	13590	Tumour_Only
12	43	13668	Tumour_Only
1	44	3569	Tumour_Only
2	44	7933	Tumour_Only
3	44	8080	Tumour_Only
4	44	9660	Tumour_Only
5	44	10660	Tumour_Only
6	44	11472	Tumour_Only
7	44	11569	Tumour_Only
8	44	12093	Tumour_Only
9	44	12276	Tumour_Only
10	44	12776	Tumour_Only
11	44	13059	Tumour_Only
12	44	13668	Tumour_Only
1	45	1286	Tumour_Only
2	45	5925	Tumour_Only
3	45	9027	Tumour_Only
4	45	9440	Tumour_Only
5	45	10490	Tumour_Only
6	45	11312	Tumour_Only
7	45	11864	Tumour_Only
8	45	11956	Tumour_Only
9	45	12133	Tumour_Only
10	45	12579	Tumour_Only
11	45	13211	Tumour_Only
12	45	13668	Tumour_Only
1	46	3953	Tumour_Only
2	46	6396	Tumour_Only
3	46	7384	Tumour_Only
4	46	10007	Tumour_Only
5	46	10365	Tumour_Only
6	46	10467	Tumour_Only
7	46	10567	Tumour_Only
8	46	11088	Tumour_Only
9	46	12173	Tumour_Only
10	46	12819	Tumour_Only
11	46	13504	Tumour_Only
12	46	13668	Tumour_Only
1	47	4527	Tumour_Only
2	47	4811	Tumour_Only
3	47	5499	Tumour_Only
4	47	7158	Tumour_Only
5	47	9852	Tumour_Only
6	47	10446	Tumour_Only
7	47	10647	Tumour_Only
8	47	11806	Tumour_Only
9	47	12327	Tumour_Only
10	47	12407	Tumour_Only
11	47	12889	Tumour_Only
12	47	13668	Tumour_Only
1	48	1286	Tumour_Only
2	48	2918	Tumour_Only
3	48	4834	Tumour_Only
4	48	6243	Tumour_Only
5	48	6531	Tumour_Only
6	48	8518	Tumour_Only
7	48	10871	Tumour_Only
8	48	11802	Tumour_Only
9	48	12473	Tumour_Only
10	48	12557	Tumour_Only
11	48	13259	Tumour_Only
12	48	13668	Tumour_Only
1	49	2451	Tumour_Only
2	49	2918	Tumour_Only
3	49	5942	Tumour_Only
4	49	6921	Tumour_Only
5	49	7847	Tumour_Only
6	49	9412	Tumour_Only
7	49	9522	Tumour_Only
8	49	10392	Tumour_Only
9	49	10585	Tumour_Only
10	49	11439	Tumour_Only
11	49	13196	Tumour_Only
12	49	13668	Tumour_Only
1	50	4527	Tumour_Only
2	50	4790	Tumour_Only
3	50	6217	Tumour_Only
4	50	7853	Tumour_Only
5	50	8096	Tumour_Only
6	50	10505	Tumour_Only
7	50	11046	Tumour_Only
8	50	11846	Tumour_Only
9	50	11932	Tumour_Only
10	50	12449	Tumour_Only
11	50	12736	Tumour_Only
12	50	13668	Tumour_Only
1	51	4687	Tumour_Only
2	51	5972	Tumour_Only
3	51	6195	Tumour_Only
4	51	7890	Tumour_Only
5	51	9467	Tumour_Only
6	51	10025	Tumour_Only
7	51	10130	Tumour_Only
8	51	10480	Tumour_Only
9	51	11267	Tumour_Only
10	51	11446	Tumour_Only
11	51	13211	Tumour_Only
12	51	13668	Tumour_Only
1	52	5003	Tumour_Only
2	52	6191	Tumour_Only
3	52	6371	Tumour_Only
4	52	9350	Tumour_Only
5	52	10046	Tumour_Only
6	52	10255	Tumour_Only
7	52	10599	Tumour_Only
8	52	11446	Tumour_Only
9	52	11983	Tumour_Only
10	52	12656	Tumour_Only
11	52	13591	Tumour_Only
12	52	13668	Tumour_Only
1	53	1286	Tumour_Only
2	53	3963	Tumour_Only
3	53	5408	Tumour_Only
4	53	7340	Tumour_Only
5	53	9043	Tumour_Only
6	53	9161	Tumour_Only
7	53	9365	Tumour_Only
8	53	11522	Tumour_Only
9	53	12052	Tumour_Only
10	53	12776	Tumour_Only
11	53	13398	Tumour_Only
12	53	13668	Tumour_Only
1	54	4527	Tumour_Only
2	54	6731	Tumour_Only
3	54	7233	Tumour_Only
4	54	8023	Tumour_Only
5	54	9572	Tumour_Only
6	54	9679	Tumour_Only
7	54	9786	Tumour_Only
8	54	10392	Tumour_Only
9	54	10585	Tumour_Only
10	54	11173	Tumour_Only
11	54	11980	Tumour_Only
12	54	13668	Tumour_Only
1	55	1286	Tumour_Only
2	55	4235	Tumour_Only
3	55	6559	Tumour_Only
4	55	7056	Tumour_Only
5	55	8812	Tumour_Only
6	55	11060	Tumour_Only
7	55	11154	Tumour_Only
8	55	11936	Tumour_Only
9	55	12391	Tumour_Only
10	55	12570	Tumour_Only
11	55	13059	Tumour_Only
12	55	13668	Tumour_Only
1	56	1421	Tumour_Only
2	56	5963	Tumour_Only
3	56	7008	Tumour_Only
4	56	7882	Tumour_Only
5	56	8962	Tumour_Only
6	56	11107	Tumour_Only
7	56	11199	Tumour_Only
8	56	11690	Tumour_Only
9	56	12534	Tumour_Only
10	56	12705	Tumour_Only
11	56	12987	Tumour_Only
12	56	13668	Tumour_Only
1	57	4527	Tumour_Only
2	57	6477	Tumour_Only
3	57	8071	Tumour_Only
4	57	8310	Tumour_Only
5	57	8440	Tumour_Only
6	57	9161	Tumour_Only
7	57	9884	Tumour_Only
8	57	11128	Tumour_Only
9	57	11433	Tumour_Only
10	57	11522	Tumour_Only
11	57	13259	Tumour_Only
12	57	13668	Tumour_Only
1	58	3645	Tumour_Only
2	58	5206	Tumour_Only
3	58	5883	Tumour_Only
4	58	7362	Tumour_Only
5	58	8591	Tumour_Only
6	58	10091	Tumour_Only
7	58	10188	Tumour_Only
8	58	10788	Tumour_Only
9	58	11716	Tumour_Only
10	58	11893	Tumour_Only
11	58	11980	Tumour_Only
12	58	13668	Tumour_Only
1	59	2451	Tumour_Only
2	59	4613	Tumour_Only
3	59	4834	Tumour_Only
4	59	7025	Tumour_Only
5	59	9825	Tumour_Only
6	59	10467	Tumour_Only
7	59	11238	Tumour_Only
8	59	12299	Tumour_Only
9	59	12473	Tumour_Only
10	59	13177	Tumour_Only
11	59	13259	Tumour_Only
12	59	13668	Tumour_Only
1	60	3645	Tumour_Only
2	60	4031	Tumour_Only
3	60	5430	Tumour_Only
4	60	7776	Tumour_Only
5	60	8570	Tumour_Only
6	60	9554	Tumour_Only
7	60	10581	Tumour_Only
8	60	10676	Tumour_Only
9	60	10860	Tumour_Only
10	60	11685	Tumour_Only
11	60	11980	Tumour_Only
12	60	13668	Tumour_Only
1	61	6993	Tumour_Only
2	61	7170	Tumour_Only
3	61	7363	Tumour_Only
4	61	8212	Tumour_Only
5	61	9771	Tumour_Only
6	61	10386	Tumour_Only
7	61	10718	Tumour_Only
8	61	11534	Tumour_Only
9	61	12391	Tumour_Only
10	61	12889	Tumour_Only
11	61	13059	Tumour_Only
12	61	13668	Tumour_Only
1	62	5003	Tumour_Only
2	62	7438	Tumour_Only
3	62	8277	Tumour_Only
4	62	8516	Tumour_Only
5	62	9146	Tumour_Only
6	62	9254	Tumour_Only
7	62	10157	Tumour_Only
8	62	10259	Tumour_Only
9	62	11133	Tumour_Only
10	62	11439	Tumour_Only
11	62	13196	Tumour_Only
12	62	13668	Tumour_Only
1	63	4687	Tumour_Only
2	63	6477	Tumour_Only
3	63	6658	Tumour_Only
4	63	7511	Tumour_Only
5	63	8398	Tumour_Only
6	63	8781	Tumour_Only
7	63	11043	Tumour_Only
8	63	11603	Tumour_Only
9	63	12639	Tumour_Only
10	63	13424	Tumour_Only
11	63	13590	Tumour_Only
12	63	13668	Tumour_Only
1	64	2451	Tumour_Only
2	64	5747	Tumour_Only
3	64	6769	Tumour_Only
4	64	8124	Tumour_Only
5	64	8922	Tumour_Only
6	64	9035	Tumour_Only
7	64	9946	Tumour_Only
8	64	10148	Tumour_Only
9	64	10241	Tumour_Only
10	64	12227	Tumour_Only
11	64	13196	Tumour_Only
12	64	13668	Tumour_Only
1	65	5722	Tumour_Only
2	65	5963	Tumour_Only
3	65	6998	Tumour_Only
4	65	7141	Tumour_Only
5	65	8323	Tumour_Only
6	65	9522	Tumour_Only
7	65	9720	Tumour_Only
8	65	10354	Tumour_Only
9	65	10860	Tumour_Only
10	65	11685	Tumour_Only
11	65	11980	Tumour_Only
12	65	13668	Tumour_Only
1	66	3645	Tumour_Only
2	66	6302	Tumour_Only
3	66	7384	Tumour_Only
4	66	7627	Tumour_Only
5	66	8751	Tumour_Only
6	66	11011	Tumour_Only
7	66	11104	Tumour_Only
8	66	11425	Tumour_Only
9	66	12473	Tumour_Only
10	66	12908	Tumour_Only
11	66	13591	Tumour_Only
12	66	13668	Tumour_Only
1	67	3569	Tumour_Only
2	67	6191	Tumour_Only
3	67	7194	Tumour_Only
4	67	8119	Tumour_Only
5	67	9161	Tumour_Only
6	67	11325	Tumour_Only
7	67	11636	Tumour_Only
8	67	12653	Tumour_Only
9	67	12734	Tumour_Only
10	67	12905	Tumour_Only
11	67	13590	Tumour_Only
12	67	13668	Tumour_Only
1	68	5003	Tumour_Only
2	68	7438	Tumour_Only
3	68	8572	Tumour_Only
4	68	9198	Tumour_Only
5	68	9854	Tumour_Only
6	68	9955	Tumour_Only
7	68	10577	Tumour_Only
8	68	11413	Tumour_Only
9	68	11507	Tumour_Only
10	68	13232	Tumour_Only
11	68	13504	Tumour_Only
12	68	13668	Tumour_Only
1	69	4687	Tumour_Only
2	69	4933	Tumour_Only
3	69	6108	Tumour_Only
4	69	9195	Tumour_Only
5	69	9595	Tumour_Only
6	69	10255	Tumour_Only
7	69	10362	Tumour_Only
8	69	11534	Tumour_Only
9	69	12213	Tumour_Only
10	69	13024	Tumour_Only
11	69	13504	Tumour_Only
12	69	13668	Tumour_Only
1	70	6993	Tumour_Only
2	70	8903	Tumour_Only
3	70	10004	Tumour_Only
4	70	10617	Tumour_Only
5	70	11359	Tumour_Only
6	70	11672	Tumour_Only
7	70	11863	Tumour_Only
8	70	11951	Tumour_Only
9	70	12473	Tumour_Only
10	70	12908	Tumour_Only
11	70	13591	Tumour_Only
12	70	13668	Tumour_Only
1	71	1286	Tumour_Only
2	71	7170	Tumour_Only
3	71	8483	Tumour_Only
