SampleID	w	BPscore	window_step_abs_delta
SRR8446384	9	0.07934584711801629	0.0032387540391244224
SRR8446385	9	0.08704012139306286	0.007177001180242906
SRR8446386	9	0.08942299863524594	0.006610185225211895
SRR8446387	9	0.07971732437150442	0.015615153283106045
4DNFI6HDY7WZ	9	0.09601268538348486	0.011759269719402707
4DNFITH978XV	9	0.09334426516448649	0.01136701931197362
4DNFIT64Q7A3	9	0.09669930160165575	0.014456318202950888
4DNFINSKEZND	9	0.0914703036573127	0.01662662857927584
4DNFIIV4M7TF	9	0.11669700579748471	0.008241596559313058
4DNFIXVAKX9Q	9	0.09559167862908191	0.023105413057672608
PCa13266	10	0.11323990054938833	0.01252768724833049
PCa13848	10	0.10141248418286655	0.002851955042664167
PCa14121	10	0.120038926518646	0.004635135629450185
PCa19121	10	0.1122545683809954	0.0036566354234424114
PCa3023	10	0.10224121311077154	0.01021719487083815
PCa33173	10	0.0989274095672291	0.005422256441012754
PCa40507	10	0.12060762230546228	0.0027936023011522343
PCa51852	10	0.13186906217615843	0.005419619512294166
PCa53687	10	0.11442743187136363	0.005861272633232259
PCa56413	10	0.10161610408474293	0.007584867650317267
PCa57294	10	0.11221425427184782	0.002249684531410834
PCa58215	10	0.10609726637850261	0.0020987603877279104
Benign-Prostate-1595983	10	0.09641679495476325	0.010960040532786208
Benign-Prostate-1648133	10	0.1012762831963621	0.010108517471016223
Benign-Prostate-1664855	10	0.09327039136402696	0.006125287879953187
Benign-Prostate-3320942	10	0.1066123075309734	0.001970655563501386
Benign-Prostate-3330581	10	0.09059862983425934	0.003754133829075079
SRR7702334	10	0.08024278124486121	0.008074408488048704
SRR7702335	10	0.08348554348605418	0.000137726751929787
SRR8446383	10	0.07607343562092268	0.003586596849779522
SRR8446384	10	0.06775684393355504	0.011589003184461252
SRR8446385	10	0.07702749893796262	0.010012622455100234
SRR8446386	10	0.07799941181012118	0.01142358682512476
SRR8446387	10	0.07572280666986936	0.003994517701635059
4DNFI6HDY7WZ	10	0.09598717371935753	2.5511664127328415e-05
4DNFITH978XV	10	0.0850243286591294	0.00831993650535709
4DNFIT64Q7A3	10	0.08607582379988823	0.01062347780176752
4DNFINSKEZND	10	0.08453799845047784	0.0069323052068348545
4DNFIIV4M7TF	10	0.11275441154277026	0.003942594254714452
4DNFIXVAKX9Q	10	0.09267862936189687	0.002913049267185039
PCa13266	11	0.1112343681423454	0.0020055324070429315
PCa13848	11	0.09248447068640887	0.008928013496457679
PCa14121	11	0.11805232510761776	0.0019866014110282437
PCa19121	11	0.10409575455124223	0.00815881382975317
