gene_id	gene_name	detected_prom_enh_loop	n_enhancers
ENSG00000050628.20	PTGER3	True	6
ENSG00000050767.17	COL23A1	False	6
ENSG00000050820.17	BCAR1	False	32
ENSG00000051341.14	POLQ	False	8
ENSG00000051341.14	POLQ	True	6
ENSG00000051382.9	PIK3CB	False	27
ENSG00000051382.9	PIK3CB	True	4
ENSG00000051620.11	HEBP2	False	19
ENSG00000051825.15	MPHOSPH9	False	19
ENSG00000051825.15	MPHOSPH9	True	30
ENSG00000052126.14	PLEKHA5	False	2
ENSG00000052126.14	PLEKHA5	True	4
ENSG00000052344.16	PRSS8	False	34
ENSG00000052344.16	PRSS8	True	33
ENSG00000052795.13	FNIP2	False	17
ENSG00000052802.13	MSMO1	False	11
ENSG00000052802.13	MSMO1	True	10
ENSG00000052850.8	ALX4	False	31
ENSG00000052850.8	ALX4	True	27
ENSG00000053108.17	FSTL4	False	19
ENSG00000053254.15	FOXN3	False	38
ENSG00000053372.5	MRTO4	False	50
ENSG00000053372.5	MRTO4	True	19
ENSG00000053438.11	NNAT	False	43
ENSG00000053438.11	NNAT	True	11
ENSG00000053524.12	MCF2L2	False	27
ENSG00000053747.16	LAMA3	False	12
ENSG00000053770.12	AP5M1	False	5
ENSG00000053900.10	ANAPC4	False	4
ENSG00000053900.10	ANAPC4	True	5
ENSG00000053918.18	KCNQ1	False	11
ENSG00000053918.18	KCNQ1	True	29
ENSG00000054116.12	TRAPPC3	False	11
ENSG00000054116.12	TRAPPC3	True	26
ENSG00000054118.15	THRAP3	False	37
ENSG00000054148.18	PHPT1	False	43
