Sample1	Sample2	Window	N_Int	Total	Frac
PCa13848	PCa56413	13	2576	3126	0.824056301983365
PCa13848	PCa56413	14	2437	2953	0.825262444971216
PCa13848	PCa56413	15	2288	2784	0.82183908045977
PCa13848	PCa56413	16	2155	2625	0.820952380952381
PCa13848	PCa56413	17	2052	2510	0.817529880478088
PCa13848	PCa56413	18	1960	2402	0.815986677768526
PCa13848	PCa56413	19	1913	2322	0.823858742463394
PCa13848	PCa56413	20	1833	2220	0.825675675675676
PCa13848	PCa56413	21	1745	2128	0.820018796992481
PCa13848	PCa56413	22	1681	2050	0.82
PCa13848	PCa56413	23	1630	1982	0.822401614530777
PCa13848	PCa56413	24	1610	1933	0.832902224521469
PCa13848	PCa56413	25	1539	1877	0.819925412892914
PCa13848	PCa56413	26	1486	1817	0.817831590533847
PCa13848	PCa56413	27	1451	1787	0.811975377728036
PCa13848	PCa56413	28	1405	1736	0.809331797235023
PCa13848	PCa56413	29	1362	1687	0.807350326022525
PCa13848	PCa56413	30	1333	1642	0.811814859926918
PCa13848	PCa57054	3	5380	7722	0.696710696710697
PCa13848	PCa57054	4	5329	6918	0.770309337958948
PCa13848	PCa57054	5	4958	6167	0.803956542889574
PCa13848	PCa57054	6	4596	5507	0.834574178318504
PCa13848	PCa57054	7	4208	4998	0.841936774709884
PCa13848	PCa57054	8	3865	4554	0.848704435660958
PCa13848	PCa57054	9	3551	4167	0.8521718262539
PCa13848	PCa57054	10	3255	3838	0.848097967691506
PCa13848	PCa57054	11	3029	3533	0.857345032550241
PCa13848	PCa57054	12	2842	3319	0.856282012654414
PCa13848	PCa57054	13	2668	3126	0.853486884197057
PCa13848	PCa57054	14	2493	2953	0.844226210633254
PCa13848	PCa57054	15	2359	2784	0.847341954022989
PCa13848	PCa57054	16	2248	2625	0.856380952380952
PCa13848	PCa57054	17	2118	2510	0.843824701195219
PCa13848	PCa57054	18	2036	2402	0.847626977518734
PCa13848	PCa57054	19	1986	2322	0.855297157622739
PCa13848	PCa57054	20	1880	2220	0.846846846846847
PCa13848	PCa57054	21	1802	2128	0.846804511278195
PCa13848	PCa57054	22	1749	2050	0.853170731707317
PCa13848	PCa57054	23	1693	1982	0.854187689202825
PCa13848	PCa57054	24	1643	1933	0.849974133471288
