Sample_ID	size	N
Benign-Prostate-1664855	3440000	1
Benign-Prostate-1664855	1960000	3
Benign-Prostate-1664855	5480000	3
Benign-Prostate-1664855	3360000	4
Benign-Prostate-1664855	1160000	7
Benign-Prostate-1664855	5400000	2
Benign-Prostate-1664855	6000000	1
Benign-Prostate-1664855	17240000	1
Benign-Prostate-1664855	4800000	3
Benign-Prostate-1664855	18360000	1
Benign-Prostate-1664855	9960000	1
Benign-Prostate-1664855	15920000	1
Benign-Prostate-1664855	14080000	1
Benign-Prostate-1664855	3280000	2
Benign-Prostate-1664855	7720000	1
Benign-Prostate-1664855	6840000	1
Benign-Prostate-1664855	3840000	2
Benign-Prostate-1664855	4280000	1
Benign-Prostate-1664855	4920000	2
Benign-Prostate-1664855	4520000	1
Benign-Prostate-1664855	3240000	3
Benign-Prostate-1664855	3880000	2
Benign-Prostate-1664855	6560000	1
Benign-Prostate-1664855	6800000	1
Benign-Prostate-1664855	4360000	3
Benign-Prostate-1664855	2280000	7
Benign-Prostate-1664855	3680000	2
Benign-Prostate-1664855	6920000	1
Benign-Prostate-1664855	5520000	3
Benign-Prostate-1664855	8160000	1
Benign-Prostate-1664855	12400000	1
Benign-Prostate-1664855	32240000	1
Benign-Prostate-1664855	13680000	1
Benign-Prostate-1664855	9240000	1
Benign-Prostate-1664855	6120000	1
Benign-Prostate-1664855	14880000	1
Benign-Prostate-1664855	2560000	6
Benign-Prostate-1664855	7800000	2
Benign-Prostate-1664855	24160000	1
Benign-Prostate-1664855	4600000	1
Benign-Prostate-1664855	11240000	1
Benign-Prostate-1664855	5960000	1
Benign-Prostate-1664855	7600000	1
Benign-Prostate-1664855	8600000	2
Benign-Prostate-1664855	13280000	1
Benign-Prostate-1664855	14840000	1
Benign-Prostate-1664855	4440000	2
Benign-Prostate-1664855	8520000	1
Benign-Prostate-1664855	9040000	1
Benign-Prostate-1664855	13120000	1
Benign-Prostate-1664855	18240000	1
Benign-Prostate-1664855	6640000	1
Benign-Prostate-1664855	19240000	2
Benign-Prostate-1664855	8080000	1
Benign-Prostate-1664855	4040000	1
Benign-Prostate-1664855	18920000	1
Benign-Prostate-1664855	10480000	1
Benign-Prostate-1664855	4720000	1
Benign-Prostate-1664855	11280000	1
Benign-Prostate-1664855	3040000	1
Benign-Prostate-1664855	6080000	1
Benign-Prostate-1664855	14120000	1
Benign-Prostate-1664855	5800000	1
Benign-Prostate-1664855	3720000	2
Benign-Prostate-1664855	18640000	1
Benign-Prostate-1664855	8440000	1
Benign-Prostate-1664855	7360000	1
Benign-Prostate-1664855	8360000	1
Benign-Prostate-1664855	14280000	1
Benign-Prostate-1664855	5600000	2
Benign-Prostate-1664855	4880000	1
Benign-Prostate-1664855	2960000	3
Benign-Prostate-1664855	5200000	1
Benign-Prostate-1664855	21040000	1
Benign-Prostate-1664855	3520000	1
Benign-Prostate-1664855	6280000	1
Benign-Prostate-1664855	10280000	1
Benign-Prostate-1664855	5360000	1
Benign-Prostate-3320942	47240000	1
Benign-Prostate-3320942	2800000	4
Benign-Prostate-3320942	40000	1035
Benign-Prostate-3320942	240000	95
Benign-Prostate-3320942	5640000	2
Benign-Prostate-3320942	1640000	8
Benign-Prostate-3320942	1680000	10
Benign-Prostate-3320942	80000	469
Benign-Prostate-3320942	1960000	15
Benign-Prostate-3320942	320000	56
Benign-Prostate-3320942	200000	127
Benign-Prostate-3320942	680000	30
Benign-Prostate-3320942	600000	44
Benign-Prostate-3320942	640000	33
Benign-Prostate-3320942	280000	92
Benign-Prostate-3320942	1040000	14
Benign-Prostate-3320942	160000	191
Benign-Prostate-3320942	18080000	1
Benign-Prostate-3320942	8440000	1
Benign-Prostate-3320942	5360000	3
Benign-Prostate-3320942	8320000	2
Benign-Prostate-3320942	1920000	6
Benign-Prostate-3320942	120000	284
Benign-Prostate-3320942	3080000	4
Benign-Prostate-3320942	520000	36
Benign-Prostate-3320942	1160000	16
Benign-Prostate-3320942	360000	54
