sample	target_id	transcript_name	est_counts
PCa57294	ENST00000646427.1	BRAF-218	-0.564414626227993
PCa57294	ENST00000646730.1	BRAF-219	-0.640522126621063
PCa57294	ENST00000646891.1	BRAF-220	-0.349715793674265
PCa57294	ENST00000647434.1	BRAF-221	-0.865589359322848
PCa58215	ENST00000288602.11	BRAF-201	-0.999999968283686
PCa58215	ENST00000469930.2	BRAF-202	-0.4249115183199
PCa58215	ENST00000479537.6	BRAF-203	-1
PCa58215	ENST00000496384.7	BRAF-204	0.472728412716509
PCa58215	ENST00000497784.2	BRAF-205	-1
PCa58215	ENST00000642228.1	BRAF-206	-0.967694985044588
PCa58215	ENST00000642272.1	BRAF-207	-0.266381675638098
PCa58215	ENST00000642808.1	BRAF-208	-0.943125418607384
PCa58215	ENST00000642875.1	BRAF-209	-0.795296400909901
PCa58215	ENST00000643356.1	BRAF-210	-0.333640161227418
PCa58215	ENST00000643790.1	BRAF-211	-0.209616028332581
PCa58215	ENST00000644120.1	BRAF-212	-0.245974562548835
PCa58215	ENST00000644650.1	BRAF-213	-0.85541192202022
PCa58215	ENST00000644905.1	BRAF-214	-0.735281900344626
PCa58215	ENST00000644969.1	BRAF-215	-0.702739281799837
PCa58215	ENST00000645443.1	BRAF-216	-0.716349664196399
PCa58215	ENST00000646334.1	BRAF-217	-0.487215611073426
PCa58215	ENST00000646427.1	BRAF-218	-0.592396445952705
PCa58215	ENST00000646730.1	BRAF-219	-0.556440121929103
PCa58215	ENST00000646891.1	BRAF-220	-0.0341577174644857
PCa58215	ENST00000647434.1	BRAF-221	-0.835015113484818
